word,count,type,oxford
know,514,verb,a1
fuck,407,noun,other
say,306,verb,a1
want,288,verb,a1
right,278,verb,a1
think,227,verb,a1
see,227,verb,a1
tell,222,verb,a1
good,206,adj,a1
talk,189,verb,a1
let,170,verb,a1
look,156,verb,a1
take,152,verb,a1
make,147,verb,a1
guy,144,noun,a2
give,126,verb,a1
thing,121,noun,a1
okay,121,adj,other
something,119,noun,a1
mean,119,verb,a1
call,117,verb,a1
shit,117,noun,other
time,111,verb,a1
mother,108,adj,a1
junior,99,adj,b2
come,97,verb,a1
uncle,97,noun,a1
father,92,noun,a1
kid,90,verb,a2
little,89,adj,a1
man,89,verb,a1
feel,85,verb,a1
friend,83,noun,a1
hear,80,verb,a1
nothing,78,noun,a1
people,78,noun,a1
need,77,verb,a1
maybe,76,noun,a1
soprano,75,noun,other
dad,75,noun,a1
love,73,verb,a1
thank,72,verb,a1
home,68,adj,a1
thought,67,noun,a2
new,66,adj,a1
two,66,adj,a1
happen,65,verb,a1
anything,65,noun,a1
work,65,verb,a1
day,64,adj,a1
sorry,64,adj,a1
house,64,verb,a1
leave,64,verb,a1
life,63,adj,a1
help,63,verb,a1
business,62,adj,a1
sure,60,adj,a1
car,59,noun,a1
last,59,verb,a1
son,57,noun,a1
please,57,verb,a1
fine,56,verb,a1
wrong,55,adj,a1
boy,54,noun,a1
listen,53,verb,a1
better,53,verb,a1
eat,53,verb,a1
nice,52,adj,a1
put,52,verb,a1
much,52,adj,a1
try,51,verb,a1
use,50,verb,a1
start,50,verb,a1
ask,48,verb,a1
old,48,adj,a1
year,48,noun,a1
place,47,verb,a1
still,46,adj,a1
keep,46,verb,a1
night,45,noun,a1
ass,44,noun,other
problem,44,noun,a1
play,43,verb,a1
name,43,verb,a1
lot,43,noun,a1
family,43,noun,a1
understand,42,verb,a1
remember,41,verb,a1
girl,41,noun,a1
hello,40,noun,a1
move,39,verb,a1
every,39,adj,a1
pay,38,verb,a1
stop,38,verb,a1
kind,37,adj,a1
meadow,37,noun,other
live,37,verb,a1
today,36,noun,a1
big,36,adj,a1
another,35,adj,a1
care,35,verb,a2
wife,35,noun,a1
kill,34,verb,a2
long,34,verb,a1
week,34,noun,a1
real,33,adj,a1
wait,33,verb,a1
min,33,noun,a2
worry,33,verb,a2
doctor,33,noun,a1
enough,33,adj,a1
woman,32,noun,a1
open,32,verb,a1
break,31,verb,a1
school,31,verb,a1
coach,31,verb,a2
run,30,verb,a1
restaurant,30,noun,a1
suppose,30,verb,a2
bring,30,verb,a1
easy,29,adj,a1
boss,29,noun,a2
head,29,verb,a1
nobody,29,noun,a1
everything,29,noun,a1
beautiful,29,adj,a1
mom,29,noun,other
question,29,verb,a1
somebody,28,noun,a1
next,28,adj,a1
bad,28,adj,a1
baby,28,verb,a1
hit,28,verb,a2
dead,28,adj,a2
face,28,verb,a1
buy,28,verb,a1
ball,27,noun,a1
daughter,27,noun,a1
lose,27,verb,a1
game,27,adj,a1
forget,27,verb,a1
watch,27,verb,a1
stay,27,verb,a1
door,27,noun,a1
change,26,verb,a1
believe,26,verb,a1
job,26,noun,a1
sleep,25,verb,a1
hand,25,verb,a1
everybody,25,noun,a1
shoot,25,verb,b1
minute,25,adj,a1
prick,24,verb,other
psychiatrist,24,noun,other
truck,24,noun,a2
excuse,24,verb,b2
phone,24,verb,a1
drive,24,verb,a1
dinner,23,noun,a1
different,23,adj,a1
whole,23,adj,a2
first,23,adj,a1
three,23,adj,a1
stuff,23,verb,b1
great,23,adj,a1
cop,23,noun,c1
word,22,noun,a1
hurt,22,verb,a2
many,22,noun,a1
music,22,noun,a1
nurse,22,verb,a1
feeling,22,adj,other
point,22,verb,a1
later,21,adj,a1
duck,21,verb,other
act,21,verb,a2
eye,21,verb,a1
send,21,verb,a1
world,20,noun,a1
matter,20,verb,a2
end,20,verb,a1
morning,20,noun,a1
line,20,verb,a1
patient,20,adj,a2
miss,20,verb,a1
lie,20,noun,a1
depress,20,verb,b2
sound,20,verb,a1
test,19,verb,a1
room,19,noun,a1
die,19,verb,a1
interest,19,verb,a1
happy,19,adj,a1
street,19,adj,a1
hate,19,verb,a1
sell,19,verb,a1
coffee,19,noun,a1
show,19,verb,a1
respect,19,verb,b1
wear,18,verb,a1
mouth,18,verb,a1
course,18,noun,a1
hour,18,noun,a1
steal,18,verb,a2
college,18,noun,a1
wish,18,verb,a2
party,18,adj,a1
hole,17,verb,a2
finish,17,verb,a1
serious,17,adj,a2
walk,17,verb,a1
best,17,adj,a1
brother,17,noun,a1
black,17,adj,a1
answer,17,verb,a1
piece,16,noun,a1
therapy,16,noun,b2
turn,16,verb,a1
lady,16,noun,a2
hat,16,noun,a1
lucky,16,adj,a2
running,16,noun,other
kick,16,verb,b1
part,16,verb,a1
anybody,16,noun,a2
reason,16,verb,a1
idea,16,noun,a1
pick,16,verb,a2
sex,15,noun,b1
meet,15,verb,a1
dick,15,noun,other
guess,15,verb,a1
touch,15,verb,a2
fire,15,verb,a1
arthur,15,noun,other
news,15,noun,a1
suit,15,verb,a2
cancer,15,noun,b2
deal,15,verb,a2
outside,15,adj,a1
ally,15,verb,c1
bar,15,verb,a2
cousin,15,noun,a1
shrink,15,verb,c1
laugh,15,verb,a1
mine,15,verb,a2
dog,15,verb,a1
husband,15,noun,a1
person,14,noun,a1
fight,14,verb,a2
five,14,adj,a1
least,14,adj,a2
club,14,verb,a1
sick,14,adj,a1
rule,14,verb,a1
hospital,14,noun,a1
drink,14,verb,a1
late,14,adj,a1
visit,14,verb,a1
dress,14,verb,a1
close,14,verb,a1
scar,14,verb,a2
offer,14,verb,a2
either,14,adj,a2
couple,14,noun,a2
set,14,verb,b1
blame,14,verb,b2
pretty,14,adj,a1
tomorrow,14,noun,a1
crazy,14,adj,a2
mention,14,verb,a2
mob,13,verb,c1
stand,13,verb,a1
throw,13,verb,a2
hair,13,noun,a1
catch,13,verb,a2
blow,13,verb,a2
check,13,verb,a1
crow,13,verb,a2
motel,13,noun,other
number,13,verb,a1
poor,13,adj,a1
joke,13,verb,a2
top,13,verb,a2
agree,13,verb,a1
seem,13,verb,other
spend,13,verb,a1
table,13,verb,a1
study,13,verb,a1
arrest,13,verb,b1
alone,13,adj,a2
book,13,verb,a1
hope,13,verb,a1
fly,13,verb,a1
discuss,13,verb,a1
admit,13,verb,b1
glad,13,adj,b1
true,13,adj,a1
lawyer,13,noun,a2
funny,13,adj,a1
whack,13,verb,other
hare,13,noun,other
movie,13,noun,a1
owe,12,verb,b2
water,12,verb,a1
cry,12,verb,a2
seat,12,verb,a2
dream,12,verb,a2
wonder,12,verb,b1
sister,12,noun,a1
men,12,noun,other
dye,12,verb,other
death,12,noun,a2
shut,12,verb,a2
picture,12,verb,a1
read,12,verb,a1
pull,12,verb,a2
grandma,12,noun,other
ear,12,noun,a1
smell,12,verb,a2
nephew,12,noun,other
bear,12,verb,a1
build,12,verb,a1
concern,12,verb,b2
piss,12,noun,other
sad,12,adj,a1
honey,12,noun,other
busy,12,verb,a1
high,12,adj,a1
parent,12,noun,a1
front,12,verb,a1
fair,12,adj,a2
learn,12,verb,a1
figure,11,verb,a2
side,11,verb,a2
case,11,noun,a2
paper,11,noun,a1
attack,11,verb,a2
town,11,noun,a1
anyone,11,noun,a1
month,11,noun,a1
till,11,verb,b1
ring,11,verb,a2
therapist,11,noun,b2
stick,11,verb,b1
food,11,noun,a1
company,11,noun,a1
cool,11,verb,a1
pass,11,verb,a2
agent,11,noun,b1
government,11,noun,a2
teacher,11,noun,a1
lunch,11,verb,a1
bet,11,verb,b2
tonight,11,noun,a1
worse,11,adj,a2
record,11,verb,a2
story,11,noun,a1
wire,11,verb,b2
bust,11,verb,other
bill,10,verb,a1
sir,10,noun,a2
tree,10,noun,a1
full,10,adj,a1
glass,10,adj,a1
second,10,adj,a1
safe,10,adj,a2
box,10,verb,a1
heart,10,noun,a2
power,10,verb,a2
six,10,adj,a1
inside,10,adj,a2
park,10,verb,a1
score,10,verb,a2
free,10,verb,a1
gun,10,noun,a2
cloth,10,verb,a1
trip,10,verb,a1
message,10,noun,a1
clean,10,verb,a1
bite,10,verb,a2
four,10,adj,a1
bird,10,noun,a1
child,10,noun,a1
situation,10,noun,a1
waste,10,verb,b1
become,10,verb,a1
song,10,noun,a1
follow,10,verb,a1
fun,10,adj,a1
drug,9,noun,a2
trust,9,verb,b2
golf,9,noun,a2
sausage,9,noun,other
pool,9,verb,a1
hunter,9,noun,other
gift,9,verb,a2
suck,9,verb,c1
divorce,9,verb,a2
invent,9,verb,a2
plate,9,noun,a2
office,9,noun,a1
lye,9,noun,other
birthday,9,noun,a1
ride,9,verb,a1
rat,9,verb,b2
sit,9,verb,a1
white,9,adj,a1
special,9,adj,a1
win,9,verb,a1
avenue,9,noun,other
neighborhood,9,noun,other
strong,9,adj,a1
insurance,9,noun,b2
knock,9,verb,a2
write,9,verb,a1
state,9,verb,a2
ticket,9,noun,a1
important,9,adj,a1
beat,9,verb,a2
young,9,adj,a1
art,9,noun,a1
load,9,verb,b2
choice,9,adj,a2
massive,9,adj,b2
shop,9,verb,a1
expect,9,verb,a2
accept,9,verb,a2
cook,9,verb,a1
date,9,verb,a1
half,9,adj,a1
aunt,9,noun,a1
wonderful,9,adj,a1
body,9,noun,a1
chance,9,verb,a2
rest,9,verb,a2
war,8,noun,a2
gran,8,noun,b2
prison,8,noun,a2
issue,8,verb,b1
opinion,8,noun,a1
brain,8,noun,a2
blood,8,noun,a2
cause,8,verb,a2
wine,8,noun,a1
bigger,8,adj,other
daddy,8,noun,other
management,8,noun,b1
burn,8,verb,a2
form,8,verb,a1
downstairs,8,noun,a1
early,8,adj,a1
jack,8,noun,other
air,8,noun,a1
speak,8,verb,a1
age,8,verb,a1
depression,8,noun,b2
source,8,noun,a2
charge,8,verb,b1
shoe,8,noun,a1
treat,8,verb,b1
memory,8,noun,a2
personal,8,adj,a1
smart,8,adj,b1
pork,8,noun,other
horse,8,noun,a1
godfather,8,noun,other
student,8,noun,a1
wall,8,verb,a1
doughnut,8,noun,other
history,8,noun,a1
ton,8,noun,b2
upset,8,verb,b1
dark,8,adj,a1
crime,8,noun,a2
union,8,noun,b1
tax,8,verb,b1
trouble,8,verb,a2
save,8,verb,a2
medication,8,noun,b2
player,8,noun,a1
alive,8,adj,a2
marriage,8,noun,b1
sensitive,8,adj,b2
fidget,8,verb,other
program,8,verb,a2
fault,8,verb,b2
share,8,verb,a1
grind,7,verb,a2
ruin,7,verb,b2
afraid,7,adj,a1
center,7,verb,other
fat,7,adj,a1
value,7,verb,b1
somewhere,7,noun,a2
wrist,7,noun,b2
favor,7,verb,other
drop,7,verb,a2
soccer,7,noun,a2
grab,7,verb,b2
control,7,verb,a2
anywhere,7,noun,a2
team,7,verb,a1
possible,7,adj,a1
tower,7,verb,a2
market,7,verb,a1
someplace,7,noun,other
relationship,7,noun,a2
complain,7,verb,a2
less,7,adj,a2
law,7,noun,a2
far,7,adj,a1
cell,7,noun,b2
teach,7,verb,a1
neck,7,noun,a2
light,7,verb,a1
yesterday,7,noun,a1
saint,7,noun,c1
embarrass,7,verb,b1
female,7,adj,a2
window,7,noun,a1
find,7,verb,a1
warn,7,verb,b1
joint,7,adj,b2
invite,7,verb,a2
plus,7,adj,b1
sign,7,verb,a2
